Book Name,Price,Review,Clean_Review,Sentiment
A Light in the Attic,51.77,Amazing book with beautiful poems. I loved every page.,amazing book beautiful poems loved every page,Positive
Tipping the Velvet,53.74,Excellent story and well written.,excellent story well written,Positive
Soumission,50.1,Interesting concept but the ending was disappointing.,interesting concept ending disappointing,Negative
Sharp Objects,47.82,A thrilling and engaging mystery.,thrilling engaging mystery,Positive
Sapiens: A Brief History of Humankind,54.23,One of the best books I have ever read.,one best books ever read,Positive
The Requiem Red,22.65,The plot was boring and predictable.,plot boring predictable,Negative
The Dirty Little Secrets of Getting Your Dream Job,33.34,Very useful and practical advice.,useful practical advice,Positive
The Coming Woman,17.93,Inspiring and informative.,inspiring informative,Positive
The Boys in the Boat,22.6,Fantastic storytelling and emotional.,fantastic storytelling emotional,Positive
The Black Maria,52.15,Not my type of book.,type book,Neutral
Starving Hearts,13.99,Average story with weak characters.,average story weak characters,Negative
Shakespeare's Sonnets,20.66,A timeless masterpiece.,timeless masterpiece,Neutral
Set Me Free,17.46,Heartwarming and enjoyable.,heartwarming enjoyable,Positive
Scott Pilgrim's Precious Little Life,52.29,"Funny, entertaining and creative.",funny entertaining creative,Positive
Rip it Up and Start Again,35.02,Very informative for music lovers.,informative music lovers,Neutral
Our Band Could Be Your Life,57.25,Excellent history of indie music.,excellent history indie music,Positive
Olio,23.88,Beautiful poetry and creative writing.,beautiful poetry creative writing,Positive
Mesaerion,37.59,Confusing but imaginative.,confusing imaginative,Positive
Libertarianism for Beginners,51.33,Easy to understand and educational.,easy understand educational,Positive
It's Only the Himalayas,45.17,Wonderful travel experience and inspiring.,wonderful travel experience inspiring,Positive
