Review,Clean_Review,Sentiment
This phone is amazing and works perfectly,phone amazing works perfectly,Positive
I love this product,love product,Positive
Excellent quality and fast delivery,excellent quality fast delivery,Positive
Very satisfied with the purchase,satisfied purchase,Positive
Best product I have ever used,best product ever used,Positive
Average quality not bad,average quality bad,Negative
The product is okay,product okay,Positive
Nothing special about this item,nothing special item,Positive
Very poor quality,poor quality,Negative
Worst product ever,worst product ever,Negative
I hate this phone,hate phone,Negative
Terrible customer service,terrible customer service,Negative
Fantastic experience,fantastic experience,Positive
Highly recommended,highly recommended,Positive
Waste of money,waste money,Negative
Good value for money,good value money,Positive
Not worth the price,worth price,Positive
Awesome performance,awesome performance,Positive
Very disappointed,disappointed,Negative
Superb build quality,superb build quality,Positive
